id_product,provider,service,product,variable,motu_server,standard_name,units,date_min,date_max,depth_min,depth_max,product_type,temporal_resolution,spatial_resolution,description,var,minlon,maxlon,minlat,maxlat
1,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,thetao,http://nrt.cmems-du.eu/motu-web/Motu,sea_water_potential_temperature,degrees_C,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,SST,-90,-20,-80,-40
2,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,so,http://nrt.cmems-du.eu/motu-web/Motu,sea_water_salinity,1.00E-03,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,SAL,-90,-20,-80,-40
3,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,zos,http://nrt.cmems-du.eu/motu-web/Motu,sea_surface_height_above_geoid,m,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,SSH,-90,-20,-80,-40
4,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,uo,http://nrt.cmems-du.eu/motu-web/Motu,eastward_sea_water_velocity,m s-1,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,UO,-90,-20,-80,-40
5,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,vo,http://nrt.cmems-du.eu/motu-web/Motu,northward_sea_water_velocity,m s-1,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,VO,-90,-20,-80,-40
6,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,mlotst,http://nrt.cmems-du.eu/motu-web/Motu,ocean_mixed_layer_thickness_defined_by_sigma_theta,m,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,MLD,-90,-20,-80,-40
7,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,siconc,http://nrt.cmems-du.eu/motu-web/Motu,sea_ice_area_fraction,1,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,SIC,-90,-20,-80,-40
8,CMEMS,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,global-analysis-forecast-phy-001-024,sithick,http://nrt.cmems-du.eu/motu-web/Motu,sea_ice_thickness,m,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.083 x 0.083 degree,,SIT,-90,-20,-80,-40
9,CMEMS,GLOBAL_ANALYSIS_FORECAST_BIO_001_028-TDS,global-analysis-forecast-bio-001-028-daily,chl,http://nrt.cmems-du.eu/motu-web/Motu,mass_concentration_of_chlorophyll_a_in_sea_water,mg m-3,01/02/2019,30/09/2019,1.5412,1.5415,Analysis and forecast,daily,0.25 x 0.25 degree ,,CHL,-90,-20,-80,-40
10,MOVEMED,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,derived-global-analysis-forecast-phy-001-024,temgrad,,sea_water_temperature_gradient,,01/02/2019,30/09/2019,NA,NA,Analysis and forecast,daily,0.083 x 0.083 degree,,SSTg,-90,-20,-80,-40
11,MOVEMED,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,derived-global-analysis-forecast-phy-001-024,salgrad,,sea_water_salinity_gradient,,01/02/2019,30/09/2019,NA,NA,Analysis and forecast,daily,0.083 x 0.083 degree,,SALg,-90,-20,-80,-40
12,MOVEMED,GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS,derived-global-analysis-forecast-phy-001-024,eke,,eddy_kinetic_energy,m2 s-2,01/02/2019,30/09/2019,NA,NA,Analysis and forecast,daily,0.083 x 0.083 degree,,EKE,-90,-20,-80,-40
